,Model,Scenario,Region,Variable,Unit,Year,Value,OMCOST_p,FUELCOST_p,CAPCOST_p,OMCOST_MWh,CAPCOST_MWh,FUELCOST_MWh,CostTotal
281,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,Latin America,Renewables,EJ/yr,2040,10.212253102310001,3.6194917427999997,0.0,96.38050825719999,0.8013520598,21.3385536718,0.0,22.1399057316
282,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,Latin America,Renewables,EJ/yr,2050,13.43507313912,3.3954367857,2.2955573636,94.3090058508,0.7255893140999999,20.1534032847,0.4905501112,21.36954271
283,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,Latin America,Renewables,EJ/yr,2060,16.08849034516,2.9929996645999997,23.391945006700002,73.6150553287,0.7716539354999999,18.9794031154,6.0309015860000015,25.781958636900004
284,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,Latin America,Renewables,EJ/yr,2070,20.9117740041,3.2878012797000005,0.0,96.71219872030001,0.710073526,20.8871419246,0.0,21.5972154506
285,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,Latin America,Renewables,EJ/yr,2080,27.7358918846,3.1714354599,0.0,96.8285645401,0.7108254666,21.702541463299998,0.0,22.413366929899997
286,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,Latin America,Renewables,EJ/yr,2090,40.9508024263,3.1925264305,0.07498435190000001,96.7324892176,0.7501275812999999,22.7286162711,0.0176185951,23.4963624475
287,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,Latin America,Renewables,EJ/yr,2100,46.54361657800001,3.3615904959,0.0,96.6384095041,0.7791433090000001,22.398674154699997,0.0,23.177817463699995
288,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,Central Asia,Fossils,EJ/yr,2020,4.3218146796,0.0,0.0,0.0,,,,
289,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,Central Asia,Fossils,EJ/yr,2030,3.174694676538,1.2102990348,82.9767742148,15.812926750499999,0.4579428543,5.983163337000001,31.396059764,37.8371659553
290,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,Central Asia,Fossils,EJ/yr,2040,2.34308866275,0.48867746549999996,92.6245787527,6.8867437818,0.2673172887,3.767199852,50.667675526000004,54.7021926667
291,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,Central Asia,Fossils,EJ/yr,2050,1.04988746899,1.7457525006999999,65.0801560989,33.1740914004,1.9920212793,37.853874455500005,74.26084497020001,114.10674070500002
292,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,Central Asia,Fossils,EJ/yr,2060,0.1099874787495834,0.724735366,93.07848626180001,6.1967783722000025,1.1250830694,9.6199119817,144.4955413037,155.2405363548
293,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,Central Asia,Fossils,EJ/yr,2070,0.015037662080000003,0.142360122,98.08483764420001,1.7728022338,0.2478893111,3.0869510233,170.7934952771,174.1283356115
