,Model,Scenario,Region,Variable,Unit,Year,Value,OMCOST_p,FUELCOST_p,CAPCOST_p,OMCOST_MWh,CAPCOST_MWh,FUELCOST_MWh,FUELCOST_NoC_MWh,CARBONCOST_MWh,CostTotal_MWh,OMCOST,CAPCOST,FUELCOST,FUELCOST_NoC,CARBONCOST,CostTotal,Value_diff,CostTotal_MWh_diff,CostTotal_diff,OMCOST_MWh_diff,OMCOST_diff,CAPCOST_MWh_diff,CAPCOST_diff,FUELCOST_MWh_diff,FUELCOST_diff,CARBONCOST_MWh_diff,CARBONCOST_diff
32,MESSAGEix-GLOBIOM_1.0,NPi_v3,Asia (No Japan),Renewables,EJ/yr,2070,36.4689639573,3.4238544097,2.0537220862,94.5224235041,7.7565427835000005,117.4757690552,0.9241235154,#WERT!,0.0,126.1564353541,79025.9118187212,1196877.27191107,9415.2389117061,#WERT!,0.0,1285318.4226415001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,MESSAGEix-GLOBIOM_1.0,NPi_v3,Asia (No Japan),Renewables,EJ/yr,2080,43.802862835,3.8265833242,1.0014137570000001,95.17200291889999,7.8734702829,121.0831929323,0.7509852862,#WERT!,0.0,129.7076485014,96528.0649816276,1484469.47732034,9207.0146831898,#WERT!,0.0,1590204.55698516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,MESSAGEix-GLOBIOM_1.0,NPi_v3,Asia (No Japan),Renewables,EJ/yr,2090,48.2802559634,3.0147490615,1.2300327912,95.7552181473,7.6605319421,124.49717484760001,0.6578975671,#WERT!,0.0,132.8156043568,105185.35946488699,1709447.88008795,9033.4708621332,#WERT!,0.0,1823666.71041497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,MESSAGEix-GLOBIOM_1.0,NPi_v3,Asia (No Japan),Renewables,EJ/yr,2100,54.2708100734,2.4774465885,1.4946270208,96.0279263907,7.3973929412,130.8066019532,0.6255844524,#WERT!,0.0,138.82957934680002,113555.810310768,2007984.40706804,9603.2142646008,#WERT!,0.0,2131143.43164341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,MESSAGEix-GLOBIOM_1.0,NPi_v3,Middle East + Africa,Fossils,EJ/yr,2020,6.9932384797000005,2.1038777897,69.2645751245,28.631547085799998,3.1846574517,28.9446053953,16.4234694244,16.4214294883,0.0020399362,48.552732271400004,6294.639811960899,57210.506381005995,32461.834924792,32457.8028856488,4.0320391432,95966.9811177589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,MESSAGEix-GLOBIOM_1.0,NPi_v3,Middle East + Africa,Fossils,EJ/yr,2030,9.9058742699,1.9529543687,71.2354611796,26.8115844517,2.8387371401,26.5087888168,16.0123395826,16.008025266,0.0043143166,45.3598655395,7975.9009421696,74480.8213185659,44989.3132268283,44977.1914417486,12.1217850797,127446.035487564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,MESSAGEix-GLOBIOM_1.0,NPi_v3,Middle East + Africa,Fossils,EJ/yr,2040,14.204418521700001,1.9187806086,70.6826884125,27.3985309789,2.5546095449,24.2880605714,17.8646216134,17.8614956909,0.0031259225,44.7072917297,10296.8979572388,97898.20200862699,72007.1629587146,71994.5632620889,12.5996966256,180202.26292458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,MESSAGEix-GLOBIOM_1.0,NPi_v3,Middle East + Africa,Fossils,EJ/yr,2050,20.1745185726,2.1654940903999997,68.0720472002,29.7624587095,2.8403491761,26.6448312494,19.5981874406,19.5868558787,0.0113315619,49.0833678661,16284.5503400168,152762.589694285,112362.12527388301,112297.158124172,64.9671497106,281409.265308185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,MESSAGEix-GLOBIOM_1.0,NPi_v3,Middle East + Africa,Fossils,EJ/yr,2060,28.551931435900002,1.8109234947,73.3938792884,24.7951972169,3.2374889092,30.1989933572,26.865288140100002,26.8590436963,0.0062444438,60.3017704065,26939.123222361803,251285.61859310698,223545.880126303,223493.920152168,51.959974135500005,501770.62194177206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,MESSAGEix-GLOBIOM_1.0,NPi_v3,Middle East + Africa,Fossils,EJ/yr,2070,34.1999358652,1.6414214997,74.8138397476,23.5447387528,3.6513048381999997,33.2550820582,32.2321877647,32.2295118989,0.0026758658,69.1385746611,36811.375064945496,335267.898111464,324955.380488356,324928.403201338,26.977287017600002,697034.653664765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
