Model;Scenario;Region;Emissions;Total energy investment;Total energy investment (supply side);Low carbon investment;Low carbon investment (supply side);Total_inv/GDP;LC_inv/GDP;Extraction and Conversion - Fossil Fuels;Electricity - Fossil Fuels w/o CCS;Hydrogen - Fossil;Electricity - Non-bio Renewables;Hydrogen - Non-fossil;Extraction and Conversion - Bioenergy;Extraction and Conversion - Nuclear;Electricity - T&D and Storage;CCS;Energy Efficiency;Energy Supply|Electricity|Coal|w/ CCS;Energy Supply|Electricity|Coal|w/o CCS;Energy Supply|Electricity|Gas|w/ CCS;Energy Supply|Electricity|Gas|w/o CCS;Energy Supply|Electricity|Oil|w/ CCS;Energy Supply|Electricity|Biomass|w/ CCS;Energy Supply|Electricity|Biomass|w/o CCS;Energy Supply|Electricity|Nuclear;Energy Supply|Electricity|Hydro;Energy Supply|Electricity|Solar;Energy Supply|Electricity|Wind;Energy Supply|Electricity|Geothermal;Energy Supply|Electricity|Ocean;Energy Supply|Electricity|Transmission and Distribution;Energy Supply|Electricity|Electricity Storage
WITCH-GLOBIOM;CPol;R5ASIA;296,1127975;607,1665312;607,1665312;149,1526538;149,1526538;3.00%;0.74%;239,4384475;134,8524919;0;103,8269218;0;16,94103194;14,47831319;97,62161729;0,007707551;0;0,00180617;105,2545651;0,000602057;28,78991802;0;0,004697268;1,860372543;14,47252298;50,18005359;17,30673478;36,34013344;0;0;97,62101523;0,000602057
WITCH-GLOBIOM;NDC;R5ASIA;245,3311324;588,8356254;553,171147;246,8710953;211,2066169;2.93%;1.23%;201,8408994;59,58936119;0;149,8410037;0;24,691037;31,36504512;83,74818389;2,095616662;35,66447845;0,712539383;39,76040401;0,652889515;18,9859389;0;0,51326039;4,907939484;31,35752037;65,71365633;31,23477876;52,89256858;0;0;83,74758183;0,000602057
WITCH-GLOBIOM;2C;R5ASIA;210,2117415;586,8544192;514,3731579;331,913553;259,4322917;2.96%;1.68%;128,8631883;10,14957987;0;184,3582985;0;19,86160414;52,89957419;80,77305899;37,467854;72,48126126;7,277515733;5,730773992;2,57663769;3,743539468;0;5,40193792;5,337091506;52,89000294;50,18005359;85,22264897;48,9555959;0;0;80,77245694;0,000602057
WITCH-GLOBIOM;1.5C;R5ASIA;196,6955136;696,6985939;607,1325791;447,8825524;358,3165376;3.56%;2.29%;108,6938282;8,869964176;0;202,9859902;0;95,3774229;66,41973825;92,28532073;32,50031455;89,56601488;1,501794272;5,730773992;1,928374659;2,58738538;0;5,412922275;14,1271327;66,40900964;50,18005359;103,9263504;48,87958623;0;0;91,94493335;0,340387382
WITCH-GLOBIOM;CPol;R5MAF;56,22273639;422,2780968;422,2780968;24,9585218;24,9585218;7.56%;0.45%;326,0753898;53,63856083;0;12,0568608;0;10,03857028;0,002616596;20,4646536;0,001444936;0;0,000722468;5,169469101;0,000240823;34,60717319;0;0,000240823;0,307415848;0,002526001;8,609873641;2,07771707;1,369270087;0;0;20,46441278;0,000240823
WITCH-GLOBIOM;NDC;R5MAF;54,7218645;404,9202179;404,6731341;43,77075636;43,52367254;7.32%;0.79%;296,2189693;47,21905915;0;19,37776946;0;18,62646215;0,007167353;21,80782488;1,41588179;0,247083821;0,000722468;2,924899063;0,000240823;30,57361676;0;1,414677676;8,568042237;0,006966239;8,609873641;6,51300755;4,25488827;0;0;21,80758406;0,000240823
WITCH-GLOBIOM;2C;R5MAF;46,76071028;294,6938918;263,6629723;70,299316;39,26839648;5.60%;1.34%;192,4827394;22,37825661;0;15,08700608;0;9,446511009;0,006193081;14,94195212;9,320313988;31,03091952;5,672310337;0,464819877;1,130329398;10,5762207;0;2,352437209;0,064387281;0,006055339;8,609873641;4,536789037;1,940343405;0;0;11,40356809;3,53838403
WITCH-GLOBIOM;1.5C;R5MAF;44,30761652;327,2622206;297,1780535;150,125624;120,041457;6.41%;2.94%;147,7154801;20,28051486;0;14,9968183;0;90,80786369;0,015120999;12,94437323;10,41788234;30,08416705;6,692966398;0,464819877;1,132571415;9,124718282;0;2,356420052;0,653672049;0,014815683;8,609873641;4,43259921;1,954345445;0;0;10,87190455;2,072468674
WITCH-GLOBIOM;CPol;R5LAM;33,23520559;224,766407;224,766407;38,27762991;38,27762991;3.73%;0.63%;163,4269516;16,59121579;0;26,02981242;0;3,74049348;1,583224897;13,3939863;0,000722468;0;0,000361234;0,378883079;0,000120411;12,82001166;0;0,000120411;1,057452803;1,583224897;24,23059501;0,595034244;1,204183167;0;0;13,39386589;0,000120411
WITCH-GLOBIOM;NDC;R5LAM;27,97424942;242,5585827;228,3544533;88,75934703;74,55521765;4.05%;1.48%;138,0287437;10,25527527;0;42,88246246;0;14,56659314;1,107300401;18,56123211;2,952846248;14,20412938;0,000361234;0,000240823;0,884839197;8,632150486;0;1,706263118;11,33392006;1,107300401;26,39853947;8,109072564;8,374850421;0;0;18,5611117;0,000120411
WITCH-GLOBIOM;2C;R5LAM;27,71032605;149,1146706;136,3173757;55,56769895;42,77040411;2.54%;0.95%;85,17513308;2,471612033;0;30,08719261;0;3,178639541;3,037081614;10,20214568;2,165571147;12,79729484;0,000361234;0,000240823;1,14230807;1,863234392;0;1,022781432;0,572049124;3,037081614;24,23059501;2,398650293;3,457947309;0;0;10,20202527;0,000120411
WITCH-GLOBIOM;1.5C;R5LAM;26,1519293;123,6711023;113,0937374;60,12305457;49,54568975;2.16%;1.05%;52,78054146;1,93784783;0;32,2925273;0;5,28944235;5,560359374;10,94567224;4,287346898;10,57736482;0,000361234;0,000240823;1,367184426;1,451410884;0;2,648728091;0,211256532;5,560359374;24,23059501;3,478332834;4,583599454;0;0;10,94555183;0,000120411
